Source,RA,DEC,Plx,Gmag,BPmag,RPmag
608562815342540416,133.7564583333333,13.549277777777778,4.8842,18.0519,19.604099,16.740299
692445558155086848,133.75849999999997,26.37063888888889,5.6939,16.7177,18.5849,15.3939
660878991637884672,133.75916666666666,20.398305555555556,5.41,13.5243,14.2549,12.7039
605090768075846272,133.800125,12.722166666666666,5.8885,15.9932,17.26,14.8729
610607838253570176,133.81404166666667,15.622416666666668,4.8612,20.7095,20.7393,19.1996
611907770232716032,133.81754166666667,17.984055555555557,5.4449,18.3564,19.9524,17.050501
686213934269354368,133.84616666666665,23.048444444444446,4.7601,19.2653,20.818199,17.7474
692891891156502656,133.864625,27.79266666666667,6.1159,18.5556,20.502001,17.1605
610609831115899776,133.86654166666665,15.695527777777778,5.2616,18.2578,19.936399,16.9296
609026981048417280,133.86945833333334,15.102277777777777,4.7631,18.464,19.864799,17.2125
692545132676762496,133.889125,26.892083333333332,5.4125,17.76,19.496,16.4891
692468884120784512,133.89079166666664,26.445694444444445,5.1268,20.2077,21.159401,18.753201
692484075421762432,133.8970833333333,26.600055555555556,6.0453,14.9564,16.121,13.8791
660582913772038656,133.93166666666664,19.62838888888889,5.9275,16.2153,17.676201,15.0094
608793884583245824,133.94633333333334,14.707472222222222,4.9552,17.4435,18.9699,16.2115
684927162067415296,133.966625,20.849805555555555,4.7839,20.5485,21.191999,19.0418
604676664508585344,133.97241666666667,11.610833333333334,5.187,19.7075,20.4767,18.0718
608793850224080128,133.97304166666666,14.711472222222222,4.8073,20.8429,20.869801,19.364599
686133811655064704,133.97429166666666,22.493555555555556,5.7983,17.7102,19.4911,16.3997
685836977875329152,133.99554166666667,21.69211111111111,5.793,8.48039,8.63375,8.24355
660553978576244736,134.007,19.287583333333334,5.1794,17.8193,19.6045,16.3687
689662384986900352,134.02191666666667,23.937555555555555,6.5591,16.3409,17.870701,15.1297
684902835372591104,134.02879166666668,20.593555555555554,5.5846,19.6335,21.3477,18.131701
689651149352460672,134.02904166666667,23.743694444444447,5.8748,18.0582,19.829201,16.7286
608614354950987648,134.03475,14.035055555555555,6.1455,18.6786,20.410101,17.274099
